term_code,term_desc,term_start_date,enrollment_date,date,days,level_desc,student_type,online,_FREQ_,Official
202110,Fall 2020,17AUG2020:00:00:00,03APR2020:06:00:00,04-03,-136,Undergraduate,Visiting,On-Campus Program,,2
202110,Fall 2020,17AUG2020:00:00:00,03APR2020:06:00:00,04-03,-136,Undergraduate,Visiting,Online Program,,4
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Graduate,Continuing,On-Campus Program,115,563
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Graduate,Continuing,Online Program,30,885
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Graduate,New First Time Grad Applicant,On-Campus Program,1,
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Graduate,New First Time Grad Applicant,On-Campus Program,92,357
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Graduate,New First Time Grad Applicant,Online Program,16,462
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Graduate,Returning,On-Campus Program,6,53
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Graduate,Returning,Online Program,,52
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Graduate,Non Degree,On-Campus Program,,21
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Graduate,Non Degree,Online Program,,2
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Undergraduate,Continuing,On-Campus Program,1834,6294
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Undergraduate,Continuing,Online Program,92,1319
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Undergraduate,High School Special,On-Campus Program,,3
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Undergraduate,EKU Dual Credit,On-Campus Program,,769
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Undergraduate,New First Time Freshman,On-Campus Program,7,2150
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Undergraduate,New First Time Freshman,Online Program,,122
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Undergraduate,Returning,On-Campus Program,11,169
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Undergraduate,Returning,Online Program,5,207
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Undergraduate,New First Time Transfer,On-Campus Program,17,469
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Undergraduate,New First Time Transfer,Online Program,9,525
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Undergraduate,Non Degree,On-Campus Program,,25
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Undergraduate,Non Degree,Online Program,,12
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Undergraduate,Visiting,On-Campus Program,,2
202110,Fall 2020,17AUG2020:00:00:00,04APR2020:06:00:00,04-04,-135,Undergraduate,Visiting,Online Program,,4
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Graduate,Continuing,On-Campus Program,125,563
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Graduate,Continuing,Online Program,32,885
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Graduate,New First Time Grad Applicant,On-Campus Program,1,
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Graduate,New First Time Grad Applicant,On-Campus Program,95,357
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Graduate,New First Time Grad Applicant,Online Program,17,462
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Graduate,Returning,On-Campus Program,6,53
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Graduate,Returning,Online Program,1,52
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Graduate,Non Degree,On-Campus Program,,21
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Graduate,Non Degree,Online Program,,2
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Undergraduate,Continuing,On-Campus Program,1867,6294
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Undergraduate,Continuing,Online Program,95,1319
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Undergraduate,High School Special,On-Campus Program,,3
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Undergraduate,EKU Dual Credit,On-Campus Program,,769
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Undergraduate,New First Time Freshman,On-Campus Program,7,2150
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Undergraduate,New First Time Freshman,Online Program,,122
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Undergraduate,Returning,On-Campus Program,13,169
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Undergraduate,Returning,Online Program,5,207
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Undergraduate,New First Time Transfer,On-Campus Program,19,469
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Undergraduate,New First Time Transfer,Online Program,11,525
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Undergraduate,Non Degree,On-Campus Program,,25
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Undergraduate,Non Degree,Online Program,,12
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Undergraduate,Visiting,On-Campus Program,,2
202110,Fall 2020,17AUG2020:00:00:00,05APR2020:06:00:00,04-05,-134,Undergraduate,Visiting,Online Program,,4
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Graduate,Continuing,On-Campus Program,125,563
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Graduate,Continuing,Online Program,35,885
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Graduate,New First Time Grad Applicant,On-Campus Program,1,
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Graduate,New First Time Grad Applicant,On-Campus Program,97,357
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Graduate,New First Time Grad Applicant,Online Program,18,462
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Graduate,Returning,On-Campus Program,6,53
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Graduate,Returning,Online Program,1,52
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Graduate,Non Degree,On-Campus Program,,21
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Graduate,Non Degree,Online Program,,2
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Undergraduate,Continuing,On-Campus Program,1907,6294
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Undergraduate,Continuing,Online Program,99,1319
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Undergraduate,High School Special,On-Campus Program,,3
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Undergraduate,EKU Dual Credit,On-Campus Program,,769
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Undergraduate,New First Time Freshman,On-Campus Program,7,2150
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Undergraduate,New First Time Freshman,Online Program,,122
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Undergraduate,Returning,On-Campus Program,13,169
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Undergraduate,Returning,Online Program,5,207
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Undergraduate,New First Time Transfer,On-Campus Program,19,469
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Undergraduate,New First Time Transfer,Online Program,12,525
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Undergraduate,Non Degree,On-Campus Program,,25
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Undergraduate,Non Degree,Online Program,,12
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Undergraduate,Visiting,On-Campus Program,,2
202110,Fall 2020,17AUG2020:00:00:00,06APR2020:06:00:00,04-06,-133,Undergraduate,Visiting,Online Program,,4
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Graduate,Continuing,On-Campus Program,129,563
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Graduate,Continuing,Online Program,39,885
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Graduate,New First Time Grad Applicant,On-Campus Program,1,
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Graduate,New First Time Grad Applicant,On-Campus Program,97,357
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Graduate,New First Time Grad Applicant,Online Program,18,462
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Graduate,Returning,On-Campus Program,6,53
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Graduate,Returning,Online Program,1,52
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Graduate,Non Degree,On-Campus Program,,21
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Graduate,Non Degree,Online Program,,2
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Undergraduate,Continuing,On-Campus Program,2854,6294
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Undergraduate,Continuing,Online Program,126,1319
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Undergraduate,High School Special,On-Campus Program,,3
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Undergraduate,EKU Dual Credit,On-Campus Program,,769
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Undergraduate,New First Time Freshman,On-Campus Program,8,2150
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Undergraduate,New First Time Freshman,Online Program,1,122
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Undergraduate,Returning,On-Campus Program,19,169
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Undergraduate,Returning,Online Program,13,207
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Undergraduate,New First Time Transfer,On-Campus Program,41,469
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Undergraduate,New First Time Transfer,Online Program,23,525
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Undergraduate,Non Degree,On-Campus Program,,25
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Undergraduate,Non Degree,Online Program,,12
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Undergraduate,Visiting,On-Campus Program,,2
202110,Fall 2020,17AUG2020:00:00:00,07APR2020:06:00:00,04-07,-132,Undergraduate,Visiting,Online Program,,4
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Graduate,Continuing,On-Campus Program,134,563
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Graduate,Continuing,Online Program,54,885
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Graduate,New First Time Grad Applicant,On-Campus Program,1,
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Graduate,New First Time Grad Applicant,On-Campus Program,102,357
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Graduate,New First Time Grad Applicant,Online Program,20,462
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Graduate,Returning,On-Campus Program,6,53
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Graduate,Returning,Online Program,1,52
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Graduate,Non Degree,On-Campus Program,,21
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Graduate,Non Degree,Online Program,,2
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Undergraduate,Continuing,On-Campus Program,3838,6294
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Undergraduate,Continuing,Online Program,171,1319
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Undergraduate,High School Special,On-Campus Program,,3
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Undergraduate,EKU Dual Credit,On-Campus Program,,769
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Undergraduate,New First Time Freshman,On-Campus Program,10,2150
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Undergraduate,New First Time Freshman,Online Program,1,122
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Undergraduate,Returning,On-Campus Program,27,169
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Undergraduate,Returning,Online Program,14,207
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Undergraduate,New First Time Transfer,On-Campus Program,84,469
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Undergraduate,New First Time Transfer,Online Program,37,525
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Undergraduate,Non Degree,On-Campus Program,,25
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Undergraduate,Non Degree,Online Program,,12
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Undergraduate,Visiting,On-Campus Program,,2
202110,Fall 2020,17AUG2020:00:00:00,08APR2020:06:00:00,04-08,-131,Undergraduate,Visiting,Online Program,,4
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Graduate,Continuing,On-Campus Program,138,563
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Graduate,Continuing,Online Program,56,885
